Unit Name;Agricultural Sciences;Baseline for All Items;Biology & Biochemistry;Chemistry;Clinical Medicine;Computer Science;Economics & Business;Engineering;Environment/Ecology;Geosciences;Global Baseline;Immunology;Materials Science;Mathematics;Microbiology;Molecular Biology & Genetics;Multidisciplinary;Neuroscience & Behavior;Pharmacology & Toxicology;Physics;Plant & Animal Science;Psychiatry/Psychology;Social Sciences, general;Space Science
2014_GERMANY (FED REP GER);0.015698728223257487;0;0.05887023083721557;0.09581766706113216;0.25835492907110863;0.015421603726949984;0.019203978608984824;0.04254235510882754;0.023810237128690626;0.034438336054645954;0;0.022304777027128242;0.03819075153167458;0.021518342645715057;0.013167158500232186;0.04109681381727759;0.0014755006965561663;0.05496801833515586;0.02426711805503543;0.08232844495708315;0.03908953368186108;0.035164851626046705;0.04065491259343589;0.02161571071198526
2015_GERMANY (FED REP GER);0.015950597049871226;0;0.05481737298056661;0.09616453992039335;0.25916061812221963;0.015628658393818776;0.01903828143291969;0.04632989932100211;0.02718918286115664;0.03515716459845469;0;0.02140892062748771;0.03869848981503161;0.022330835869819713;0.012701943338796534;0.037842425661437605;0.0017048115195504566;0.0529735424959026;0.023860044486068835;0.07936519550456568;0.03865458908920628;0.03408891360337157;0.04492507609459143;0.022008897213767267
2016_GERMANY (FED REP GER);0.015002012981967919;0;0.05156765385185865;0.09222988960383102;0.25757693475819493;0.015305726050811902;0.019691907812488963;0.04686363283208905;0.029446041488617822;0.0366433349107578;0;0.02142942909006152;0.03974403345081614;0.02125991481907883;0.01360352024636074;0.03771692529364816;0.0015609439119655885;0.05616572845226407;0.02318813965150691;0.07987653710596761;0.038063016930237815;0.035661564757983065;0.04576179007070158;0.02164132192878988
2017_GERMANY (FED REP GER);0.01587730605569185;0;0.051332695746184875;0.0956034207936574;0.24729371976658765;0.016320844941577612;0.019321662716398465;0.05160297725477151;0.029606220632874547;0.03602367388803415;0;0.021934383966069275;0.04111744078062844;0.021823499244597835;0.013687332806630906;0.03721568464385214;0.001697922297531429;0.056246274966388066;0.022377922851955036;0.07653124870056967;0.04020264182848906;0.035282132313193895;0.04632902268978613;0.022571971114530055
2018_GERMANY (FED REP GER);0.016217938721684713;0;0.04695879748594829;0.0924734390572984;0.25535795404465356;0.01649592178505807;0.01968933697649348;0.05233539673607203;0.03350034917384789;0.03884304805038952;0;0.02163521842010699;0.04403658528316982;0.021628438345390567;0.013207585547592734;0.032327396247906655;0.0017831596504193476;0.051501447545951956;0.023031913811690206;0.0740248557539104;0.03896508939528514;0.03648358204907418;0.04635537083618661;0.023147175081869403
2019_GERMANY (FED REP GER);0.01657337490764742;0;0.047653931402381756;0.0928847815470153;0.2483251311719699;0.016078740749088997;0.020856030153900095;0.054729078227331356;0.03327823484478505;0.03680954706537937;0;0.0234732083599434;0.04608863343226016;0.02160737317955846;0.012910577657562894;0.03290256333195587;0.001440074132511865;0.0536521532238877;0.022064440186833966;0.06753947681480647;0.039044792566713;0.03861903151883993;0.051773795659741786;0.02169502986588527
2020_GERMANY (FED REP GER);0.016625047667080808;0;0.04739030420823441;0.08656956933561315;0.2519528126652971;0.0156778566420233;0.02177309239417908;0.05645627544807056;0.037623165586212835;0.038441194198762504;0;0.019571180790473965;0.04861427183152301;0.022461958594220906;0.014619954977673355;0.03096822604652307;0.001716014909032758;0.049309288622636636;0.02361211912464788;0.06509170531288057;0.03769697267907446;0.038139815236244205;0.05459879694438636;0.02109037678520906
2021_GERMANY (FED REP GER);0.017817040194326048;0;0.04641023878271232;0.08529836381135708;0.24440854301297035;0.016877492094046473;0.021214308630093038;0.06225079059535268;0.04201040377652505;0.038515743159631514;0;0.021695540583894772;0.05000802053256336;0.022520509647554882;0.015227553966726247;0.027516155644163345;0.0015983775608414685;0.04903982767312892;0.021558045739951417;0.06040033915394839;0.03742151335991567;0.04061826848159861;0.057157752417617676;0.020435171181080708
1980_FRANCE;0.009310798502175893;0;0.11253921667847384;0.1355632021050501;0.2475457949600243;0.006932496710859225;0.008652970347130856;0.026110717538710658;0.007539722700131566;0.024693856897075196;0;0.020898694464123065;0.01836858617548831;0.03294200991802449;0.012954154437809938;0.047869648820969536;0.015686671389535473;0.03243598826029754;0.030108288634753566;0.1087946564112944;0.05788887764396316;0.006375872887359579;0.02444084606821172;0.012346928448537598
1981_FRANCE;0.009485894033225204;0;0.12203872997149316;0.13196697139486877;0.2601002654084341;0.007274157082473213;0.0077656541826403224;0.028605131229725744;0.005947114912022019;0.029244077459942987;0;0.020495429076968445;0.017300697925882236;0.035289491791998424;0.010370588813526;0.03686228251253318;0.014695763294996559;0.0288508797798093;0.027966184999508502;0.10409908581539369;0.05268848913791409;0.007126707952423081;0.024771453848422293;0.017054949375798684
1982_FRANCE;0.008844392565322799;0;0.11205890275657718;0.12539283469516027;0.2660949986531382;0.00857502020292718;0.00754242614707731;0.028508575020202927;0.007766903115740325;0.03510819789889558;0;0.025186315883990302;0.015219538475352429;0.03263895124360241;0.012301337882733231;0.05755589476519709;0.014321630600700368;0.0295411690760528;0.030259495375774447;0.09140702163957978;0.045434138457394274;0.005971087366436203;0.026533177695968392;0.013737990482176528
1983_FRANCE;0.01188102359587903;0;0.11677467597208376;0.1132851445663011;0.29769026254569625;0.008059155865736125;0.0065221003655699565;0.025174476570289133;0.006771352608840146;0.03173811897640412;0;0.022349617813226984;0.01694915254237288;0.035643070787637086;0.01296111665004985;0.03963110667996012;0.013334995014955135;0.03551844466600199;0.0275008308408109;0.09101861083416417;0.04390993685609837;0.005732801595214357;0.024675972083748755;0.012878032568959787
1984_FRANCE;0.012754181205631092;0;0.11338386876829905;0.1143865559699996;0.2832791882244415;0.00906429230337304;0.005173865960774877;0.025428147435126138;0.007580315244856215;0.03405125736975093;0;0.02233987085388842;0.015802350298800786;0.03709942646292063;0.009986764528937552;0.043717161994144306;0.009986764528937552;0.03533469698792765;0.03220631291862191;0.0967793687081378;0.04648457867083784;0.008061605101672482;0.023823847912405247;0.013275578550515381
1985_FRANCE;0.014145004813745093;0;0.10456935495815745;0.1079760053321484;0.30219210545804637;0.010923498481818856;0.005591350070354736;0.026031252314300524;0.007368732874176109;0.03377027327260609;0;0.027734577501296008;0.017736799229800784;0.03751018292231356;0.01214544915944605;0.03813967266533363;0.01173813226690365;0.03558468488484041;0.028623268903206694;0.09290528030807968;0.04087980448789158;0.007146560023698437;0.025586906613345183;0.011701103458490706
1986_FRANCE;0.010179317783470405;0;0.11884859107455845;0.09744505864904948;0.292470001348254;0.014358905217743023;0.006100849400026965;0.02453822300121343;0.005966023998921397;0.0322906835647836;0;0.03670621545099097;0.01479708777133612;0.03350411217473372;0.011763516246460833;0.044795739517325066;0.010213024133746798;0.03593096939463395;0.027774032627747067;0.09532155858163678;0.04563839827423487;0.005393016044222732;0.022010246730484025;0.013954429014426319
1987_FRANCE;0.013341824550230854;0;0.11319853526508518;0.09906065913071167;0.3046011781563445;0.012068142015602612;0.005190256328610094;0.023212864193599744;0.007642095207769464;0.03531284827256806;0;0.022735233243114154;0.016016557872950168;0.032829167330042985;0.010635249164145837;0.03700047763095048;0.008979461869129119;0.03932494825664703;0.032542588759751634;0.0971182932654036;0.04365546887438306;0.0056997293424613914;0.02359496895398822;0.01623945231651011
1988_FRANCE;0.0105104634016252;0;0.11548959934741003;0.10416339848774825;0.2845668747843002;0.012863552222884574;0.005490540582938537;0.026103598657170646;0.00630627804097512;0.04194773005365043;0;0.02563298089291877;0.016471621748815612;0.03237850218052898;0.010541837919241992;0.031092146958240516;0.005804285759106454;0.038496533115803346;0.0319078844162771;0.10475951432246729;0.05261506604335958;0.006243529005741537;0.023468139177360146;0.013145922881435698
1989_FRANCE;0.012648687616738211;0;0.09309565160402399;0.1047285119769309;0.27889373136284695;0.01674476521283219;0.006029426221450339;0.028246551102664087;0.007078022086050398;0.03935511354327097;0;0.024609234197332634;0.022905265917357538;0.03371891077104565;0.014090506930563292;0.036504243536389556;0.006062194842219091;0.03653701215715831;0.03057312317724547;0.11822918373365665;0.043778877347052464;0.007274633810662909;0.025690598682701446;0.013205754169806993
1990_FRANCE;0.01358974358974359;0;0.0903525641025641;0.10756410256410256;0.2564102564102564;0.016314102564102564;0.005544871794871795;0.031185897435897437;0.010737179487179487;0.03733974358974359;0;0.027147435897435897;0.022211538461538463;0.03493589743589744;0.016987179487179486;0.03314102564102564;0.004519230769230769;0.040096153846153844;0.041185897435897435;0.11612179487179487;0.04708333333333333;0.00858974358974359;0.022275641025641026;0.016666666666666666
1991_FRANCE;0.014350019636868976;0;0.08918159572218362;0.11165825805866893;0.23703211383341893;0.021147397359596386;0.005891060693030422;0.03480257394036434;0.009999697894323435;0.03595057551131386;0;0.026766562943717712;0.022929820851333795;0.03398688861363705;0.01643454880517205;0.03951542249478868;0.00404821606597988;0.040784266336364464;0.029999093682970303;0.13356091960967947;0.044077218210930184;0.007582852481798133;0.022869399716020665;0.017431497537838736
1992_FRANCE;0.013630457021206004;0;0.08872238657413807;0.10959661588653266;0.23218778511985402;0.02076363736901767;0.006248444800796262;0.03569354972490254;0.011971577870552131;0.035638253753214076;0;0.028477425419558184;0.027150322099035087;0.03414526251762559;0.01775000691199646;0.03677182117282756;0.0036218861455942935;0.042218474384141114;0.030246896513588986;0.12986258951035418;0.044872681025187315;0.012303353700682905;0.02347313998175233;0.014653432497442562
1993_FRANCE;0.013508297954457738;0;0.08256786311591406;0.11156567605815;0.24129679660362793;0.010858098546249839;0.006715553840216133;0.03422102148462627;0.011501350829795446;0.034709893220120934;0;0.029435224495046958;0.034118101119258976;0.03283159655216776;0.017702302843175092;0.046262704232600024;0.003396372057120803;0.04320082336292294;0.02928084394699601;0.12504824392126593;0.04582529267978901;0.008130708864016466;0.02027531197735752;0.017547922295124148
1994_FRANCE;0.016129032258064516;0;0.07827324478178369;0.11064990512333966;0.23503320683111956;0.013828273244781784;0.006878557874762809;0.039255218216318784;0.012333965844402278;0.03230550284629981;0;0.028676470588235293;0.03140417457305503;0.032661290322580645;0.018666982922201137;0.04494781783681214;0.0032495256166982923;0.04264705882352941;0.029388045540796964;0.1330170777988615;0.04269449715370019;0.007518975332068311;0.02139468690702087;0.019046489563567363
1995_FRANCE;0.015783882227955685;0;0.07419291893415432;0.11014027708518527;0.2443249571797151;0.01515512867766624;0.007349912191314529;0.040110140277085184;0.012163129024564751;0.031979706437135484;0;0.028814257528781737;0.02987663421720183;0.03429959022613446;0.01832057758601999;0.0442512412462329;0.002211478004466318;0.04863083494135247;0.027188170760791795;0.12056891355722742;0.04479327016889621;0.009648114823406977;0.02009843245235566;0.02009843245235566
1996_FRANCE;0.016676274396771804;0;0.07284031952565263;0.11041340690109529;0.23657662851025282;0.013279255538170139;0.007679321419748003;0.04103187021329161;0.012023387960141645;0.034629004364654534;0;0.03108786955447583;0.03576134398418842;0.03489664827472618;0.01867330972576793;0.042349501770567406;0.0012146915918636251;0.04440830107881084;0.026579099069422712;0.11875154409948119;0.042823025611463394;0.015832166680391994;0.019126245573581488;0.023346784155480523
1997_FRANCE;0.015539969745191647;0;0.0704308363293452;0.11251252431189956;0.24359049920433784;0.015756075519145006;0.006070607650144398;0.0421995638592562;0.013280682108406515;0.03318205929156598;0;0.025657649162098978;0.03950806467456435;0.03530382507219897;0.01905660006679633;0.04412486984538614;0.0013555725820710793;0.03872222549655213;0.025834462977151727;0.12094064949608063;0.04451778943439225;0.008644230958134418;0.020942614094025657;0.022828628121254985
1998_FRANCE;0.01813748476038638;0;0.0671105692581825;0.1147894588764888;0.23379911844696613;0.01768733001969427;0.007915220857169652;0.04163931351402044;0.013842258276282472;0.034155490950014064;0;0.02715933602175748;0.03820688361624308;0.03544968582950389;0.016768264090781207;0.042183250492356744;0.0019506705429991559;0.04522179499202851;0.025733846009565787;0.11964737878645784;0.04647847697646066;0.0108974960142549;0.01969426990527994;0.021532401763106068
1999_FRANCE;0.016011963380384433;0;0.06404785352153773;0.11766422292738082;0.23445307655833972;0.019568151147098516;0.008170113433271328;0.04303899040741146;0.014808330597804282;0.03543421964474596;0;0.025713973082394134;0.036036036036036036;0.03632782580151001;0.017379727906043696;0.04261954261954262;0.001130685341211657;0.0431484115694642;0.023361418098260204;0.12350001823686034;0.04480796586059744;0.009246088193456615;0.021027099974468395;0.0225042856621804
2000_FRANCE;0.019035714285714284;0;0.068;0.11573214285714285;0.221375;0.020517857142857143;0.00830357142857143;0.046964285714285715;0.014482142857142857;0.03485714285714286;0;0.024553571428571428;0.036517857142857144;0.037589285714285714;0.016892857142857143;0.040660714285714286;0.0008214285714285715;0.046910714285714285;0.02169642857142857;0.12573214285714285;0.042875;0.015732142857142858;0.020392857142857143;0.02035714285714286
2001_FRANCE;0.01771359720898448;0;0.06623266854892369;0.11683780818961642;0.2240904922042189;0.01756973042962217;0.0077148560433039;0.046774686640171204;0.01622097937310051;0.03596669484057762;0;0.025356519862607226;0.03940151419785279;0.03835848004747604;0.018702681317100366;0.042944233639649686;0.001258834319420217;0.039419497545273074;0.02895318934666499;0.12282626288057259;0.04342978401999748;0.009764957649216826;0.020087399068462602;0.020375132627187223
2002_FRANCE;0.016429699842022118;0;0.062225732841846584;0.11493768650166754;0.22050201860628402;0.022222222222222223;0.007600491486747411;0.047165174653326314;0.016692996313849396;0.04049499736703528;0;0.02273126206775496;0.037739160961909775;0.04040723187642619;0.017254695453747585;0.04634017904160084;0.0011058451816745656;0.04158328945058803;0.022783921362120416;0.13001579778830963;0.043601895734597156;0.010672283658065648;0.019396173424609444;0.018097244163594876
2003_FRANCE;0.01719020741477809;0;0.061726912453464636;0.11444697970457547;0.22695534320369196;0.0297483230112028;0.008749506768000823;0.05067851567191065;0.016452503902966254;0.039595807099109606;0;0.023503577004237507;0.036970955068709364;0.0399217691159567;0.01688140129355453;0.038429206196709496;0.0009264183636706754;0.041156993600850934;0.02473880148913174;0.11863301823671704;0.0428554272675805;0.01055087580847158;0.020243956835766613;0.019643500488943026
2004_FRANCE;0.015323864928986967;0;0.06014170106275797;0.10780330852481394;0.21999414995612468;0.0312977347330105;0.008807566056745425;0.04767785758393188;0.017143878579089344;0.04205531541486561;0;0.02219766648249862;0.038691540186551396;0.038106535799018494;0.01769638272287042;0.037830283727127954;0.0007475056062920471;0.044281582111865836;0.029380220351652636;0.12164841236309272;0.041909064317982386;0.016071370535279014;0.021450160876206572;0.019743898079235593
2005_FRANCE;0.01683724001320568;0;0.06069895769466585;0.11127356191733874;0.2231130814821802;0.03551384238079517;0.008678017261708248;0.05139209860239903;0.018723765504881383;0.04065462434561147;0;0.023534405508654436;0.03674008395038438;0.03771478878775016;0.017230266157304785;0.036237010485937526;0.0009118206543099247;0.04321715480513764;0.024336178842616612;0.11889826911286139;0.040560298071027685;0.012010878963668663;0.02127057491864359;0.020453080538917447
2006_FRANCE;0.01726142563276988;0;0.059595146528336765;0.10498464657305548;0.22180484750916735;0.034358882628268195;0.008884118892168261;0.054944399725725186;0.019065080642757058;0.04172256506573652;0;0.023477327609337267;0.04003815997376502;0.0368631309065975;0.01918433056077274;0.03389678919595743;0.0009987180633813314;0.0453596875652148;0.023164296574546106;0.11719285692991085;0.041379721551441435;0.012044241719583819;0.023700921205616673;0.020078704945890348
2007_FRANCE;0.017398568362835046;0;0.06065014186746554;0.1055436332473967;0.24252855352796301;0.01708170701847878;0.010096354654261066;0.05454335959441748;0.020379945557459925;0.04208494764586424;0;0.025507338220679524;0.035301234318964154;0.03862827843470496;0.015526205873457101;0.03610779046823465;0.0009073756679293111;0.03985251544699054;0.02362057294292175;0.10853941323040141;0.04551281128026386;0.013120940214025436;0.025464129855540033;0.021604182569745504
2008_FRANCE;0.018809406039864713;0;0.05677579776212184;0.10061093806398139;0.23589962969399622;0.01994572410197452;0.013101078833736615;0.05725706188254482;0.020975094581768113;0.04130850366963892;0;0.025199524083258693;0.039450289426894644;0.037645548975308474;0.016336243198802187;0.03641565177867198;0.0007753699717925752;0.03899576220205072;0.02657647420557999;0.10557063219389597;0.04355440289827948;0.01723192920070051;0.026990896087055332;0.020574041148082298
2009_FRANCE;0.01828660515756383;0;0.051933447491502034;0.09636568098755335;0.23966825976946865;0.01828660515756383;0.01243386919518491;0.06158151659979043;0.02140465663097094;0.04464947478723132;0;0.025557798962353363;0.03656043141564649;0.03872006542796534;0.016919262913077927;0.03636874792342883;0.0008306284662764843;0.042911544457791294;0.02700181460372633;0.09926649116978045;0.04395941421524778;0.015475247271704962;0.029365911007744012;0.02245252638842743
2010_FRANCE;0.01864751766773284;0;0.053275009797848265;0.09671424417502118;0.24483242518868759;0.0187360143617492;0.014526100203542397;0.057497566340914553;0.02223795496782513;0.04316110191026435;0;0.025044564406629666;0.03553774383999798;0.04064526732322785;0.016839656632827216;0.03413443912059571;0.0008470397855851528;0.03855927382141367;0.029178624255679592;0.09534886661019734;0.04113832033274757;0.01646038508704282;0.03178295553673245;0.024854928633737467
2011_FRANCE;0.016640042598509052;0;0.04857682253848388;0.09703262658534224;0.23590134572562688;0.022061671023332365;0.014824765224126247;0.06266337496369445;0.02398586504017814;0.03970616710233324;0;0.028778197308548747;0.036075612353567627;0.03815713040952658;0.01578081130796786;0.034018297995933776;0.0011738793687675476;0.04078323167780037;0.03400619614677123;0.09476958079194502;0.04194500919740536;0.017329848000774518;0.03266289088972795;0.023126633749636943
